,websitename,subcategory,productname,price,description,sizes,color,imgs
0,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,SUPERSTAR OT TECH SHOES,$100,"Originally designed for sport. Comfortable anywhere. Merging elements of the past with modern detailing, these adidas Superstar OT Tech Shoes rethink basketball style for today. Updated proportions and a synthetic upper create a fresh, eye-catching silhouette. Taking design cues from contemporary basketball sneakers, they add a technical mesh tongue and serrated details for a modern edge.","5,6,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",Cream White / True Orange / Victory Crimson,"['https://assets.adidas.com/images/w_600,f_auto,q_auto/432b1bf323434b138da1ad5e002073ef_9366/Superstar_OT_Tech_Shoes_White_H05649_42_detail.jpg', 'https://assets.adidas.com/videos/w_600,f_auto,q_auto/3b3cc9f0fbbb4376a548adc800e8a0d3_d98c/Superstar_OT_Tech_Shoes_White_H05649_video.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/bea8a92f0b6d440d9901ad5e00203fbc_9366/Superstar_OT_Tech_Shoes_White_H05649_01_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/ff198ef06d3e497c80a4ad5e00204d6e_9366/Superstar_OT_Tech_Shoes_White_H05649_02_standard_hover.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/60ca6a45c889493ca9efad5e00205625_9366/Superstar_OT_Tech_Shoes_White_H05649_03_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/fd1a7083b57b482e9b67ad5e00205f02_9366/Superstar_OT_Tech_Shoes_White_H05649_04_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/f3456484fed54b4184b0ad5e002064de_9366/Superstar_OT_Tech_Shoes_White_H05649_05_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/e62307c8f30549bc82efad5e002046a2_9366/Superstar_OT_Tech_Shoes_White_H05649_06_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/878218fcb6014519b625ad5e00206d4e_9366/Superstar_OT_Tech_Shoes_White_H05649_41_detail.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/432b1bf323434b138da1ad5e002073ef_9366/Superstar_OT_Tech_Shoes_White_H05649_42_detail.jpg', 'https://assets.adidas.com/videos/w_600,f_auto,q_auto/3b3cc9f0fbbb4376a548adc800e8a0d3_d98c/Superstar_OT_Tech_Shoes_White_H05649_video.jpg']"
1,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,FORUM HI GORE-TEX SHOES,$160,"The thing about city living is it's unpredictable. Add in the changing seasons and it can be anything goes, which is exactly why these adidas Forum shoes were done up in GORE-TEX. Bring on the cold and rain. These shoes are ready for them.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content","5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",null,"['https://assets.adidas.com/images/w_600,f_auto,q_auto/086ee6d2fdc14c82b4d9ad67017bb837_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_42_detail.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/44c9011628974f289533ad67017b79ec_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_01_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/e9ad6de3240646128542ad67017b5832_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_02_standard_hover.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/9cfe82038df6477387afad67017c8d02_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_03_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/61adb7b842034ad19315ad67017d33d3_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_04_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/2f7d1095446943d7bf44ad67017c64b2_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_05_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/11a83073b9c84e4689dfad67017b2edd_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_06_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/14714d73b84a4811a176ad67017cbcbd_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_09_standard.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/ebce154e208d4434aa37ad67017acc43_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_41_detail.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/086ee6d2fdc14c82b4d9ad67017bb837_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_42_detail.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/44c9011628974f289533ad67017b79ec_9366/Forum_Hi_GORE-TEX_Shoes_Black_Q46363_01_standard.jpg']"
2,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TERREX MYSHELTER SNOW 2-LAYER INSULATED JACKET,$350,"The Terrex MYSHELTER Snow 2-Layer jacket combines functionality and style for distraction-free fun on the slopes this ski season. 
 
The PrimaLoft Insulation x Parley Ocean Plastic keeps you warm on even the coldest of days, while the RAIN.RDY materials help to shield against wind and snow. The fully adjustable, helmet-compatible hood allows for extra coverage when you need it. 
 
The under-arm ventilation zips help cool you down when things heat up, while multiple pockets—including a forearm pass pocket—keep your valuables safe and easily accessible. The elastic, stretchy powder skirt also helps to keep you dry on the hill.","S,M,L,XL,2XL",Orbit Violet / Legend Ink,"['https://assets.adidas.com/images/w_600,f_auto,q_auto/1f19798db5324cfda500adbb008d8edc_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM30.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/7fa2e9bf546d4ba7bb22adb200bf4d07_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM1.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/9ab8e84b50da437ebf90adb200bf9b79_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM3_hover.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/84b235cddacb4aa38a94adb200bfb366_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM4.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/046686ff619c4178b616adb200c05c6a_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM5.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/1c5259b1a7894626bd03adb200c07fd2_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM6.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/c30fb559f4f240609ff1adb200c09fea_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM7.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/4400028fa1d04f48a13badb200c0c026_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM8.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/943b17105e934706ad33adb200c0daf7_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM9.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/c6b86adba5074f2b8719adb200bf6c46_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM10.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/98768d8815914b63bb22adb200bf8b2c_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM11.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/1f19798db5324cfda500adbb008d8edc_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM30.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/7fa2e9bf546d4ba7bb22adb200bf4d07_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM1.jpg']"
